====================================
=== DATA FILE HEADER INFORMATION ===
====================================
FILENAME:,,6M20214-708388_01.Dta,,OPERATOR  :,12569,,CREATED   :,19-May-21
DEVICE  :,,,,LOT NAME  :,6M20214-70,,TIME POINT:,0
STATION :,,A,,TESTED BY :,TBB,,MAX TESTS :,44
SET QTY :,,32767,,LOGGED QTY:,65,,LOG RATE  :,1
Comment : Test:BYD 200A FS 6M18111 V2


====================================
=== TEST CONDITIONS & STATISTICS ===
====================================
TEST NUMBER:,,T1,,T2,,T3,,T4,,T5,,T6,,T7,,T8,,T9,,T10,,T11,,T12,,T13,,T14,,T15,,T16,,T17,,T18,,T19,,T20,,T21,,T22,,T23,,T24,,T25,,T26,,T27,,T28,,T29,,T30,,T31,,T32,,T33,,T34,,T35,,T36,,T37,,T38,,T39,,T40,,T41,,T42,,T43,,T44,,
TEST ITEM:,,X-AXIS,,Y-AXIS,,PASS#,,CONT,,ICES,,ISGS,,ISGS,,HVBCES,,HVBCES,,HVBCES,,HVBCES,,VTH,,SAME,,VTH,,SAME,,VTH,,SAME,,ABSDEL,,SAME,,ABSDEL,,SAME,,VTH,,SAME,,HVICES,,HVICES,,ISGS,,ISGS,,ISGS,,HVP,,SAME,,HVP,,SAME,,ABSDEL,,DEF,,DIVID,,HVDSON,,SAME,,HVDSON,,SAME,,HVDSON,,SAME,,HVBCES,,HVICES,,ISGS,,
AVERAGE:,,1.282E+002, ,1.280E+002, ,,,,,1.608E-003,A,1.935E-003,A,4.000E-004,A,1.254E+003,V,1.275E+003,V,1.294E+003,V,1.306E+003,V,4.802E+000,V,4.802E+000, ,5.158E+000,V,5.158E+000, ,5.314E+000,V,5.314E+000, ,5.122E-001, ,5.122E-001, ,1.555E-001, ,1.555E-001, ,5.764E+000,V,5.764E+000, ,4.615E-007,A,6.818E-007,A,2.098E-009,A,8.773E-004,A,8.971E-008,A,8.071E+000,V,8.071E+000, ,8.202E+000,V,8.202E+000, ,1.315E-001, ,8.000E+000, ,6.146E+001, ,1.420E+000,V,1.420E+000, ,1.640E+000,V,1.640E+000, ,2.131E+000,V,2.131E+000, ,1.210E+003,V,3.128E-008,A,2.156E-009,A,
STD DEV:,,2.038e+000,,2.701e+000,,,,,,6.983e-003,,3.983e-003,,1.979e-003,,2.788e+002,,2.604e+002,,2.350e+002,,2.145e+002,,1.461e-001,,1.461e-001,,3.869e-002,,3.869e-002,,3.720e-002,,3.720e-002,,1.339e-001,,1.339e-001,,6.507e-003,,6.507e-003,,3.839e-002,,3.839e-002,,2.056e-006,,2.488e-006,,2.726e-009,,2.846e-003,,2.840e-007,,2.035e-001,,2.035e-001,,2.038e-001,,2.038e-001,,1.316e-002,,0.000e+000,,6.651e+000,,2.026e-002,,2.026e-002,,3.230e-002,,3.230e-002,,5.617e-002,,5.617e-002,,3.823e+002,,8.781e-009,,2.565e-009,,

========================
===   TEST RESULTS   ===
========================
WAFER:,N/A,65,DEVICES

S/NO,BIN,T1,,T2,,T3,,T4,,T5,,T6,,T7,,T8,,T9,,T10,,T11,,T12,,T13,,T14,,T15,,T16,,T17,,T18,,T19,,T20,,T21,,T22,,T23,,T24,,T25,,T26,,T27,,T28,,T29,,T30,,T31,,T32,,T33,,T34,,T35,,T36,,T37,,T38,,T39,,T40,,T41,,T42,,T43,,T44,,
1,1,1.290E+002, ,1.330E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.331E+003,V,1.342E+003,V,1.341E+003,V,1.348E+003,V,4.834E+000,V,4.834E+000, ,5.169E+000,V,5.169E+000, ,5.326E+000,V,5.326E+000, ,4.920E-001, ,4.920E-001, ,1.570E-001, ,1.570E-001, ,5.773E+000,V,5.773E+000, ,2.800E-008,A,3.000E-008,A,1.000E-009,A,9.000E-006,A,0.000E+000,A,8.040E+000,V,8.040E+000, ,8.170E+000,V,8.170E+000, ,1.300E-001, ,8.000E+000, ,6.153E+001, ,1.434E+000,V,1.434E+000, ,1.681E+000,V,1.681E+000, ,2.211E+000,V,2.211E+000, ,1.334E+003,V,2.700E-008,A,0.000E+000,A,
2,3,1.280E+002, ,1.330E+002, ,NoData,,PASS,,0.000E+000,A,9.999E-003,A,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,
